,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526357727.0,1526375727.0,2,2,1,2,4,3,3,2018-05-15T14:24:27Z,18000.0,5.0,0
1,1,1,1526444124.0,1526466624.0,2,1,2,2,3,2,3,2018-05-16T15:26:24Z,22500.0,6.25,0
3,3,3,1526444158.0,1526467558.0,2,1,4,3,1,1,1,2018-05-17T00:25:58Z,23400.0,6.5,0
5,5,5,1526533241.0,1526547641.0,2,3,1,2,2,2,4,2018-05-17T22:45:41Z,14400.0,4.0,0
7,7,7,1526594442.0,1526608842.0,2,1,1,2,1,1,4,2018-05-18T03:05:42Z,14400.0,4.0,0
9,9,9,1526590800.0,1526619614.0,1,1,1,2,3,2,4,2018-05-18T06:07:14Z,28814.0,8.00388888888889,0
11,11,11,1526623237.0,1526634037.0,1,1,1,2,1,2,3,2018-05-18T18:04:37Z,10800.0,3.0,0
13,13,13,1526619658.0,1526634058.0,3,2,2,2,1,2,3,2018-05-19T00:47:58Z,14400.0,4.0,0
14,14,14,1526659220.0,1526688020.0,2,2,4,1,3,3,4,2018-05-19T01:52:20Z,28800.0,8.0,0
15,15,15,1526706030.0,1526716830.0,2,3,3,2,2,2,4,2018-05-19T21:05:30Z,10800.0,3.0,0
17,17,17,1526794200.0,1526823000.0,2,1,3,2,4,1,1,2018-05-21T05:45:13Z,28800.0,8.0,0
19,19,19,1526878858.0,1526893258.0,2,2,3,2,2,2,4,2018-05-21T22:52:58Z,14400.0,4.0,0
20,20,20,1526962542.0,1526980542.0,2,2,2,1,1,2,4,2018-05-22T13:22:42Z,18000.0,5.0,0
22,22,22,1527051622.0,1527073222.0,2,1,1,2,1,1,3,2018-05-23T15:46:22Z,21600.0,6.0,0
23,23,23,1527134436.0,1527148836.0,2,2,3,2,2,2,2,2018-05-24T21:58:36Z,14400.0,4.0,0
24,24,24,1527222621.0,1527249621.0,1,1,1,1,1,1,0,2018-05-25T13:32:21Z,27000.0,7.5,0
27,27,27,1527308110.0,1527336910.0,0,0,0,0,0,0,0,2018-05-26T13:22:10Z,28800.0,8.0,0
28,28,28,1527314447.0,1527336047.0,4,1,4,1,4,2,1,2018-05-27T00:08:47Z,21600.0,6.0,0
30,30,30,1527411644.0,1527429644.0,1,1,1,1,1,1,1,2018-05-27T23:14:44Z,18000.0,5.0,0
32,32,32,1527483614.0,1527498014.0,1,1,4,1,1,1,1,2018-05-28T14:02:14Z,14400.0,4.0,0
33,33,33,1527570055.0,1527584455.0,1,1,1,1,1,1,1,2018-05-29T14:03:55Z,14400.0,4.0,0
34,34,34,1527660033.0,1527717633.0,2,1,2,1,1,1,2,2018-05-30T23:12:33Z,57600.0,16.0,0
35,35,35,1527744641.0,1527755441.0,1,1,1,1,1,1,4,2018-05-31T18:34:41Z,10800.0,3.0,0
38,38,38,1527832815.0,1527843615.0,0,2,0,1,0,0,4,2018-06-01T15:58:15Z,10800.0,3.0,0
39,39,39,1528023642.0,1528052442.0,1,1,1,1,4,2,4,2018-06-03T20:05:42Z,28800.0,8.0,0
40,40,40,1528093836.0,1528104636.0,1,1,1,1,1,1,4,2018-06-04T15:43:36Z,10800.0,3.0,0
42,42,42,1528182944.0,1528190144.0,1,1,0,0,0,1,4,2018-06-05T16:21:44Z,7200.0,2.0,0
43,43,43,1528356649.0,1528363849.0,0,0,0,0,0,0,4,2018-06-07T20:35:49Z,7200.0,2.0,0
44,44,44,1528441259.0,1528455659.0,0,0,1,1,1,3,4,2018-06-08T12:04:59Z,14400.0,4.0,0
47,47,47,1528520404.0,1528524004.0,1,1,1,1,0,4,2,2018-06-09T18:58:04Z,3600.0,1.0,0
