,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526099400.0,1526212840.0,2,2,1,2,1,1,1,2018-05-14T01:36:40Z,113440.0,31.511111111111113,0
1,1,1,1526355900.0,1526382000.0,2,2,2,2,3,1,2,2018-05-16T12:44:57Z,26100.0,7.25,0
2,2,2,1526452242.0,1526468442.0,1,2,2,1,1,1,2,2018-05-16T22:50:42Z,16200.0,4.5,0
3,3,3,1526701500.0,1526713244.0,2,1,2,2,1,1,2,2018-05-20T01:34:44Z,11744.0,3.262222222222222,0
4,4,4,1526797800.0,1526823000.0,3,2,2,2,1,1,1,2018-05-21T05:53:17Z,25200.0,7.0,0
5,5,5,1526959800.0,1526985947.0,2,2,2,2,1,1,3,2018-05-23T03:51:47Z,26147.0,7.263055555555556,0
6,6,6,1527135305.0,1527157805.0,3,1,2,2,2,1,0,2018-05-24T20:30:05Z,22500.0,6.25,0
7,7,7,1527219900.0,1527255001.0,3,1,3,2,3,1,2,2018-05-26T04:49:01Z,35101.0,9.750277777777777,0
8,8,8,1527395400.0,1527426900.0,3,2,2,2,2,1,1,2018-05-28T05:43:53Z,31500.0,8.75,0
9,9,9,1527481855.0,1527503455.0,3,1,2,2,2,1,2,2018-05-28T14:12:55Z,21600.0,6.0,0
10,10,10,1527568230.0,1527589830.0,2,1,2,2,2,1,1,2018-05-29T23:43:30Z,21600.0,6.0,0
11,11,11,1527568236.0,1527589836.0,2,1,2,2,2,1,1,2018-05-30T00:13:36Z,21600.0,6.0,0
13,13,13,1527997500.0,1528023658.0,3,2,2,2,2,1,3,2018-06-03T22:54:58Z,26158.0,7.266111111111111,0
14,14,14,1528172134.0,1528193734.0,2,2,2,1,2,2,3,2018-06-05T16:18:34Z,21600.0,6.0,0
