,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
3,3,3,1526360418.0,1526374818.0,3,2,3,2,3,3,2,2018-05-15T19:11:18Z,14400.0,4.0,0
6,6,6,1526382034.0,1526410834.0,2,3,2,3,2,2,3,2018-05-15T20:06:34Z,28800.0,8.0,0
7,7,7,1526356823.0,1526378423.0,3,3,3,3,3,2,4,2018-05-16T01:47:23Z,21600.0,6.0,0
10,10,10,1526451311.0,1526472911.0,3,2,3,3,3,2,3,2018-05-16T15:20:11Z,21600.0,6.0,0
11,11,11,1526473817.0,1526491817.0,3,3,1,2,1,3,1,2018-05-17T01:33:17Z,18000.0,5.0,0
12,12,12,1526617844.0,1526646644.0,3,2,3,2,3,2,2,2018-05-18T13:44:44Z,28800.0,8.0,0
15,15,15,1526835643.0,1526864443.0,0,0,0,0,0,0,0,2018-05-21T02:10:43Z,28800.0,8.0,0
19,19,19,1526882440.0,1526889640.0,3,2,3,2,3,3,2,2018-05-21T22:03:40Z,7200.0,2.0,0
21,21,21,1526882439.0,1526889639.0,3,2,3,2,3,3,2,2018-05-21T22:03:39Z,7200.0,2.0,0
22,22,22,1526914851.0,1526943651.0,3,2,2,2,3,3,2,2018-05-22T00:05:51Z,28800.0,8.0,0
23,23,23,1526965213.0,1526994013.0,3,3,2,2,3,4,2,2018-05-22T14:13:13Z,28800.0,8.0,0
25,25,25,1526994051.0,1527022851.0,4,4,4,4,4,3,3,2018-05-22T22:49:51Z,28800.0,8.0,0
27,27,27,1527058824.0,1527076824.0,3,3,3,3,4,3,2,2018-05-23T16:53:24Z,18000.0,5.0,0
34,34,34,1527084011.0,1527112811.0,3,3,2,3,3,3,3,2018-05-23T23:51:11Z,28800.0,8.0,0
40,40,40,1527154251.0,1527181251.0,4,3,3,3,3,3,3,2018-05-24T18:38:51Z,27000.0,7.5,0
43,43,43,1527294600.0,1527323426.0,3,3,2,3,3,3,3,2018-05-26T09:39:26Z,28826.0,8.007222222222222,0
46,46,46,1527567339.0,1527596139.0,2,3,3,3,3,3,3,2018-05-30T01:18:39Z,28800.0,8.0,0
49,49,49,1527660052.0,1527678052.0,3,3,3,3,3,3,3,2018-05-30T15:50:52Z,18000.0,5.0,0
50,50,50,1527700500.0,1527765309.0,4,3,3,3,3,3,3,2018-05-31T12:26:09Z,64809.0,18.0025,0
52,52,52,1528006542.0,1528028142.0,2,2,2,2,3,2,2,2018-06-04T02:25:42Z,21600.0,6.0,0
53,53,53,1528082100.0,1528110955.0,2,2,2,3,2,2,3,2018-06-04T12:25:55Z,28855.0,8.015277777777778,0
55,55,55,1528174800.0,1528192800.0,2,3,2,2,3,3,2,2018-06-05T14:11:00Z,18000.0,5.0,0
59,59,59,1528264826.0,1528272026.0,3,2,1,3,2,3,1,2018-06-06T21:02:26Z,7200.0,2.0,0
60,60,60,1528257600.0,1528362050.0,3,3,2,3,2,3,4,2018-06-07T12:07:50Z,104450.0,29.01388888888889,0
62,62,62,1528439431.0,1528453831.0,3,3,2,3,3,3,2,2018-06-08T13:32:31Z,14400.0,4.0,0
64,64,64,1528610408.0,1528632008.0,3,2,3,3,3,3,1,2018-06-10T15:47:08Z,21600.0,6.0,0
65,65,65,1528698646.0,1528722946.0,3,2,3,3,3,3,2,2018-06-11T15:36:46Z,24300.0,6.75,0
