,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526093100.0,1526119225.0,3,1,3,2,3,3,1,2018-05-12T15:18:25Z,26125.0,7.256944444444445,0
1,1,1,1526196623.0,1526225423.0,2,1,3,2,3,1,0,2018-05-13T16:36:23Z,28800.0,8.0,0
2,2,2,1526353200.0,1526382903.0,2,2,2,3,3,1,1,2018-05-15T14:25:03Z,29703.0,8.250833333333334,0
3,3,3,1526452241.0,1526473841.0,2,2,2,2,2,2,3,2018-05-16T15:41:41Z,21600.0,6.0,0
5,5,5,1526529618.0,1526551218.0,1,1,2,1,1,1,3,2018-05-17T14:36:18Z,21600.0,6.0,0
7,7,7,1526625021.0,1526653821.0,2,2,2,2,2,1,3,2018-05-18T15:40:21Z,28800.0,8.0,0
8,8,8,1526703323.0,1526722223.0,2,3,3,2,1,3,4,2018-05-19T17:35:23Z,18900.0,5.25,0
9,9,9,1526790625.0,1526815825.0,2,2,2,3,3,3,1,2018-05-20T22:39:25Z,25200.0,7.0,0
11,11,11,1526871600.0,1526898607.0,2,2,3,3,3,3,1,2018-05-21T15:36:07Z,27007.0,7.501944444444445,0
13,13,13,1526959800.0,1526983219.0,3,2,3,3,2,1,1,2018-05-22T14:13:19Z,23419.0,6.505277777777778,0
14,14,14,1527050738.0,1527076838.0,3,2,2,2,2,1,2,2018-05-23T15:02:38Z,26100.0,7.25,0
15,15,15,1527130800.0,1527152442.0,2,2,2,2,2,2,1,2018-05-24T23:08:42Z,21642.0,6.011666666666667,0
17,17,17,1527228917.0,1527250517.0,1,2,2,2,2,1,1,2018-05-25T15:18:17Z,21600.0,6.0,0
18,18,18,1527309018.0,1527341418.0,2,2,2,2,2,1,2,2018-05-26T15:34:18Z,32400.0,9.0,0
20,20,20,1527406234.0,1527417034.0,2,2,2,2,2,2,2,2018-05-27T16:42:34Z,10800.0,3.0,0
22,22,22,1527404431.0,1527419731.0,2,2,2,2,2,2,2,2018-05-28T04:23:31Z,15300.0,4.25,0
25,25,25,1527480012.0,1527505212.0,2,2,2,2,2,2,3,2018-05-28T15:14:12Z,25200.0,7.0,0
26,26,26,1527480037.0,1527501637.0,2,2,2,2,2,2,3,2018-05-29T02:08:37Z,21600.0,6.0,0
27,27,27,1527584419.0,1527585319.0,1,1,1,1,1,1,4,2018-05-29T15:58:19Z,900.0,0.25,0
29,29,29,1527598800.0,1527670831.0,3,2,2,2,2,2,2,2018-05-30T15:09:31Z,72031.0,20.00861111111111,0
30,30,30,1527740139.0,1527758139.0,2,2,2,2,2,2,2,2018-05-31T15:29:39Z,18000.0,5.0,0
31,31,31,1527822900.0,1527848105.0,2,2,2,2,2,3,2,2018-06-02T04:16:05Z,25205.0,7.001388888888888,0
32,32,32,1527998448.0,1528021848.0,2,2,3,3,2,2,1,2018-06-03T18:50:48Z,23400.0,6.5,0
33,33,33,1527998400.0,1528108256.0,3,3,2,2,1,2,3,2018-06-04T15:36:56Z,109856.0,30.515555555555558,0
35,35,35,1528172118.0,1528193718.0,3,3,2,2,3,3,2,2018-06-05T16:57:18Z,21600.0,6.0,0
36,36,36,1528261251.0,1528284651.0,1,1,2,2,2,1,4,2018-06-06T15:33:51Z,23400.0,6.5,0
37,37,37,1528430456.0,1528450256.0,3,2,3,3,2,2,1,2018-06-08T15:40:56Z,19800.0,5.5,0
38,38,38,1528603206.0,1528628406.0,3,3,2,2,3,3,2,2018-06-10T18:54:06Z,25200.0,7.0,0
39,39,39,1528698642.0,1528713942.0,1,1,1,2,1,2,3,2018-06-11T15:40:42Z,15300.0,4.25,0
