,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
1,1,1,1526720457.0,1526745657.0,2,2,3,4,3,3,4,2018-05-20T01:51:57Z,25200.0,7.0,0
2,2,2,1526887848.0,1526893248.0,1,3,3,3,1,3,4,2018-05-21T14:53:48Z,5400.0,1.5,0
3,3,3,1526950800.0,1526979649.0,3,2,2,3,2,2,2,2018-05-22T10:12:49Z,28849.0,8.01361111111111,0
4,4,4,1527037200.0,1527069658.0,4,4,4,4,4,4,2,2018-05-23T14:53:58Z,32458.0,9.016111111111112,0
5,5,5,1527231600.0,1527242400.0,1,2,2,2,2,4,1,2018-05-26T08:03:01Z,10800.0,3.0,0
6,6,6,1527318000.0,1527340500.0,3,3,2,2,4,2,4,2018-05-27T08:28:47Z,22500.0,6.25,0
7,7,7,1527406213.0,1527429613.0,1,2,2,3,3,1,4,2018-05-27T17:46:13Z,23400.0,6.5,0
8,8,8,1527489043.0,1527505243.0,2,2,3,2,2,2,2,2018-05-28T12:29:43Z,16200.0,4.5,0
9,9,9,1527579900.0,1527600600.0,1,2,3,1,3,2,4,2018-05-29T18:32:00Z,20700.0,5.75,0
10,10,10,1527667215.0,1527670815.0,0,4,1,1,4,4,4,2018-05-31T01:54:15Z,3600.0,1.0,0
11,11,11,1527750028.0,1527764428.0,3,4,4,3,3,2,3,2018-06-01T00:48:28Z,14400.0,4.0,0
12,12,12,1527832821.0,1527843621.0,2,1,1,1,2,1,4,2018-06-02T01:03:21Z,10800.0,3.0,0
13,13,13,1527918306.0,1527946206.0,4,2,2,3,2,2,3,2018-06-02T23:45:06Z,27900.0,7.75,0
14,14,14,1528003857.0,1528030857.0,4,2,2,2,2,2,1,2018-06-03T17:31:57Z,27000.0,7.5,0
15,15,15,1528179331.0,1528208131.0,4,4,4,4,4,4,4,2018-06-05T17:21:31Z,28800.0,8.0,0
16,16,16,1528267550.0,1528282850.0,1,2,3,1,2,3,4,2018-06-06T16:37:50Z,15300.0,4.25,0
17,17,17,1528353902.0,1528362002.0,0,1,1,1,1,4,4,2018-06-08T01:03:02Z,8100.0,2.25,0
18,18,18,1528439432.0,1528456532.0,2,3,2,3,3,4,4,2018-06-09T01:17:32Z,17100.0,4.75,0
19,19,19,1528626616.0,1528643716.0,0,4,4,4,4,4,4,2018-06-10T21:36:16Z,17100.0,4.75,0
