,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526122832.0,1526126432.0,4,1,4,3,4,2,1,2018-05-12T18:12:32Z,3600.0,1.0,0
1,1,1,1526178600.0,1526216405.0,3,2,3,3,1,2,1,2018-05-13T17:44:05Z,37805.0,10.50138888888889,0
3,3,3,1526267700.0,1526290215.0,4,1,2,2,1,2,2,2018-05-14T15:26:15Z,22515.0,6.254166666666666,0
4,4,4,1526264100.0,1526379316.0,3,2,1,2,1,2,2,2018-05-15T17:17:16Z,115216.0,32.004444444444445,0
5,5,5,1526439600.0,1526463044.0,3,3,2,3,3,2,2,2018-05-16T15:42:44Z,23444.0,6.512222222222222,0
7,7,7,1526443200.0,1526549420.0,2,1,1,2,1,1,3,2018-05-17T15:36:20Z,106220.0,29.505555555555553,0
8,8,8,1526613300.0,1526634948.0,3,1,1,1,1,2,4,2018-05-18T15:23:48Z,21648.0,6.013333333333334,0
9,9,9,1526720439.0,1526745639.0,2,3,3,3,3,3,4,2018-05-19T17:03:39Z,25200.0,7.0,0
10,10,10,1526883309.0,1526897709.0,3,3,3,3,2,2,4,2018-05-21T17:20:09Z,14400.0,4.0,0
11,11,11,1526882431.0,1526895031.0,3,3,3,3,3,3,3,2018-05-22T00:45:31Z,12600.0,3.5,0
12,12,12,1526883305.0,1526897705.0,3,3,3,3,2,2,4,2018-05-21T17:20:05Z,14400.0,4.0,0
13,13,13,1526958000.0,1526986851.0,3,2,3,3,3,3,2,2018-05-22T17:13:51Z,28851.0,8.014166666666666,0
14,14,14,1527040800.0,1527074110.0,3,1,3,2,3,3,1,2018-05-23T15:29:10Z,33310.0,9.252777777777776,0
15,15,15,1527131700.0,1527155115.0,3,2,3,3,2,2,1,2018-05-24T15:21:15Z,23415.0,6.504166666666666,0
16,16,16,1527215400.0,1527253246.0,3,3,4,3,4,3,0,2018-05-25T15:43:46Z,37846.0,10.512777777777778,0
17,17,17,1527381000.0,1527422457.0,3,2,4,3,4,4,1,2018-05-27T15:45:57Z,41457.0,11.515833333333335,0
21,21,21,1527498944.0,1527516044.0,3,3,3,2,2,3,0,2018-05-28T15:23:44Z,17100.0,4.75,0
22,22,22,1527562800.0,1527593416.0,3,2,3,2,3,3,1,2018-05-29T15:22:16Z,30616.0,8.504444444444443,0
25,25,25,1527652833.0,1527679833.0,3,3,2,2,3,2,1,2018-05-30T15:53:33Z,27000.0,7.5,0
26,26,26,1527736500.0,1527758126.0,3,2,3,2,3,3,1,2018-05-31T15:24:26Z,21626.0,6.0072222222222225,0
27,27,27,1527822900.0,1527848122.0,3,2,2,2,2,2,2,2018-06-01T20:17:22Z,25222.0,7.006111111111111,0
28,28,28,1527736500.0,1527758121.0,3,2,3,2,3,3,1,2018-05-31T15:24:21Z,21621.0,6.005833333333333,0
30,30,30,1528082100.0,1528103735.0,2,2,2,3,3,3,3,2018-06-04T15:17:35Z,21635.0,6.009722222222222,0
31,31,31,1528167600.0,1528196405.0,3,2,2,3,3,3,2,2018-06-05T16:03:05Z,28805.0,8.001388888888888,0
34,34,34,1528345833.0,1528363833.0,3,3,2,3,3,3,4,2018-06-07T15:32:33Z,18000.0,5.0,0
37,37,37,1527574500.0,1528713001.0,2,3,3,3,3,3,2,2018-06-11T17:27:01Z,1138501.0,316.2502777777778,0
