,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
1,1,1,1526271314.0,1526292914.0,3,0,2,0,2,2,3,2018-05-14T17:00:14Z,21600.0,6.0,0
3,3,3,1526358656.0,1526378456.0,3,2,2,2,2,1,1,2018-05-15T18:19:56Z,19800.0,5.5,0
4,4,4,1526442300.0,1526466605.0,3,2,4,3,3,3,4,2018-05-16T12:24:05Z,24305.0,6.751388888888888,0
6,6,6,1526527800.0,1526549433.0,3,1,1,1,1,1,4,2018-05-17T23:47:33Z,21633.0,6.009166666666667,0
7,7,7,1526615100.0,1526633111.0,3,1,1,1,1,1,4,2018-05-18T10:24:11Z,18011.0,5.003055555555556,0
8,8,8,1526701500.0,1526714128.0,1,1,1,0,2,1,4,2018-05-19T10:34:28Z,12628.0,3.5077777777777777,0
10,10,10,1526790639.0,1526819439.0,4,3,3,3,3,4,3,2018-05-20T21:12:39Z,28800.0,8.0,0
11,11,11,1526872500.0,1526897734.0,1,2,2,2,2,0,0,2018-05-21T12:18:34Z,25234.0,7.009444444444444,0
12,12,12,1526958900.0,1526983204.0,2,2,2,2,2,2,1,2018-05-22T11:55:04Z,24304.0,6.751111111111111,0
13,13,13,1527048907.0,1527071407.0,1,1,1,1,1,1,3,2018-05-23T12:02:07Z,22500.0,6.25,0
14,14,14,1527135320.0,1527154220.0,1,1,1,1,1,1,3,2018-05-24T15:29:20Z,18900.0,5.25,0
15,15,15,1527217200.0,1527250547.0,3,3,3,3,3,3,2,2018-05-25T16:01:47Z,33347.0,9.263055555555555,0
16,16,16,1527305400.0,1527337859.0,3,3,3,3,3,3,1,2018-05-26T14:38:59Z,32459.0,9.016388888888889,0
17,17,17,1527309000.0,1527426055.0,2,2,2,2,2,2,1,2018-05-27T20:12:55Z,117055.0,32.515277777777776,0
19,19,19,1527478200.0,1527499847.0,1,1,1,1,1,2,3,2018-05-28T15:36:47Z,21647.0,6.013055555555556,0
21,21,21,1527564600.0,1527588906.0,2,1,2,1,1,1,3,2018-05-29T23:48:06Z,24306.0,6.751666666666667,0
22,22,22,1527738300.0,1527759016.0,2,1,1,1,1,1,3,2018-05-31T17:13:16Z,20716.0,5.754444444444444,0
23,23,23,1527823800.0,1527840010.0,1,0,1,1,1,1,4,2018-06-02T00:38:10Z,16210.0,4.502777777777778,0
24,24,24,1527908400.0,1527940818.0,3,2,2,2,2,1,3,2018-06-02T14:53:18Z,32418.0,9.004999999999999,0
25,25,25,1527995700.0,1528025407.0,3,2,2,2,2,2,3,2018-06-03T17:36:07Z,29707.0,8.251944444444444,0
26,26,26,1527994800.0,1528026323.0,2,2,2,2,3,2,3,2018-06-04T01:52:23Z,31523.0,8.756388888888889,0
27,27,27,1528083000.0,1528098352.0,1,1,1,1,0,1,4,2018-06-05T01:27:52Z,15352.0,4.264444444444445,0
29,29,29,1528167600.0,1528189256.0,1,1,1,1,1,1,3,2018-06-06T04:01:56Z,21656.0,6.015555555555555,0
30,30,30,1528254000.0,1528275652.0,1,0,0,1,0,1,4,2018-06-07T02:14:52Z,21652.0,6.014444444444445,0
31,31,31,1528300800.0,1528354842.0,0,0,0,0,0,0,4,2018-06-08T01:07:42Z,54042.0,15.011666666666667,0
32,32,32,1528424100.0,1528450251.0,2,2,2,2,2,2,0,2018-06-08T16:25:51Z,26151.0,7.264166666666667,0
34,34,34,1528688700.0,1528707628.0,1,1,1,1,0,1,1,2018-06-11T18:47:28Z,18928.0,5.257777777777777,0
