,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526437800.0,1526470256.0,3,4,3,2,4,2,1,2018-05-16T15:34:56Z,32456.0,9.015555555555554,0
1,1,1,1526486400.0,1526551251.0,3,2,2,2,2,1,1,2018-05-17T11:30:51Z,64851.0,18.014166666666664,0
2,2,2,1526531400.0,1526691616.0,2,3,2,2,3,3,4,2018-05-18T14:02:16Z,160216.0,44.504444444444445,0
3,3,3,1526614200.0,1526724022.0,3,4,3,4,4,4,4,2018-05-19T11:50:22Z,109822.0,30.50611111111111,0
4,4,4,1526783400.0,1526792431.0,1,2,2,1,1,1,4,2018-05-20T18:36:31Z,9031.0,2.508611111111111,0
5,5,5,1526880620.0,1526898620.0,0,2,2,2,0,1,4,2018-05-21T14:42:20Z,18000.0,5.0,0
6,6,6,1526959800.0,1526990446.0,3,3,3,3,4,4,3,2018-05-22T14:12:46Z,30646.0,8.512777777777778,0
7,7,7,1527003000.0,1527076856.0,3,2,2,1,2,3,2,2018-05-23T16:32:56Z,73856.0,20.515555555555558,0
8,8,8,1527130800.0,1527163223.0,2,4,3,4,4,4,3,2018-05-24T18:48:23Z,32423.0,9.006388888888889,0
9,9,9,1527224446.0,1527255046.0,1,1,2,2,0,1,3,2018-05-25T14:38:46Z,30600.0,8.5,0
10,10,10,1527318028.0,1527337828.0,3,4,2,4,4,4,0,2018-05-26T14:25:28Z,19800.0,5.5,0
11,11,11,1527390900.0,1527418808.0,1,3,2,1,2,0,2,2018-05-27T14:22:08Z,27908.0,7.752222222222222,0
12,12,12,1527477300.0,1527512451.0,2,4,1,3,1,2,4,2018-05-28T14:26:51Z,35151.0,9.764166666666666,0
13,13,13,1527567350.0,1527594350.0,2,4,3,4,4,4,4,2018-05-29T14:04:50Z,27000.0,7.5,0
14,14,14,1527654608.0,1527681608.0,1,3,2,2,4,4,4,2018-05-30T15:57:08Z,27000.0,7.5,0
15,15,15,1527735600.0,1527768048.0,3,4,4,4,4,4,4,2018-05-31T16:11:48Z,32448.0,9.013333333333332,0
16,16,16,1527823800.0,1527847215.0,1,4,2,4,4,2,4,2018-06-01T15:54:15Z,23415.0,6.504166666666666,0
17,17,17,1527910200.0,1527942643.0,1,2,2,2,3,1,4,2018-06-03T00:31:43Z,32443.0,9.011944444444445,0
18,18,18,1527994800.0,1528025428.0,1,3,2,4,2,2,1,2018-06-03T13:37:28Z,30628.0,8.507777777777777,0
19,19,19,1528169400.0,1528199141.0,2,4,2,4,4,4,4,2018-06-05T15:04:41Z,29741.0,8.26138888888889,0
20,20,20,1528255800.0,1528285508.0,3,4,2,4,4,1,4,2018-06-06T16:48:08Z,29708.0,8.252222222222223,0
21,21,21,1528342200.0,1528365645.0,2,3,1,4,4,4,4,2018-06-07T16:58:45Z,23445.0,6.5125,0
22,22,22,1528434007.0,1528458307.0,2,4,4,4,4,4,4,2018-06-08T16:18:07Z,24300.0,6.75,0
23,23,23,1528606803.0,1528632003.0,2,4,4,4,4,4,0,2018-06-10T15:08:03Z,25200.0,7.0,0
24,24,24,1528646400.0,1528707624.0,0,1,1,1,1,1,4,2018-06-11T13:02:24Z,61224.0,17.006666666666668,0
