,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526021100.0,1526122840.0,1,1,4,3,3,3,1,2018-05-12T23:20:40Z,101740.0,28.261111111111113,0
1,1,1,1526135400.0,1526209244.0,2,2,4,2,4,2,1,2018-05-14T00:27:44Z,73844.0,20.512222222222224,0
2,2,2,1526226300.0,1526287558.0,1,2,2,3,3,1,1,2018-05-14T18:57:58Z,61258.0,17.016111111111112,0
3,3,3,1526362204.0,1526378404.0,1,3,3,3,3,2,2,2018-05-15T16:12:04Z,16200.0,4.5,0
5,5,5,1526446800.0,1526550355.0,2,3,3,3,3,2,3,2018-05-17T15:02:55Z,103555.0,28.76527777777778,0
9,9,9,1526619633.0,1526637633.0,2,2,2,2,2,2,2,2018-05-18T20:56:33Z,18000.0,5.0,0
18,18,18,1526616900.0,1526713232.0,4,3,4,3,3,3,4,2018-05-19T23:17:32Z,96332.0,26.758888888888887,0
21,21,21,1526742000.0,1526821225.0,2,3,3,3,4,3,2,2018-05-20T16:46:25Z,79225.0,22.006944444444446,0
22,22,22,1526825709.0,1526854509.0,0,0,0,0,0,0,0,2018-05-20T23:29:09Z,28800.0,8.0,0
23,23,23,1526742000.0,1526823026.0,3,3,3,3,3,3,3,2018-05-21T00:44:26Z,81026.0,22.50722222222222,0
25,25,25,1526882409.0,1526900409.0,2,4,4,3,3,4,2,2018-05-21T15:38:09Z,18000.0,5.0,0
28,28,28,1526886000.0,1526983215.0,2,3,4,4,4,4,4,2018-05-22T14:13:15Z,97215.0,27.004166666666666,0
30,30,30,1527052500.0,1527156947.0,2,3,3,1,1,3,3,2018-05-24T15:29:47Z,104447.0,29.013055555555557,0
31,31,31,1527144300.0,1527253243.0,2,3,3,3,3,4,0,2018-05-25T18:46:43Z,108943.0,30.261944444444445,0
33,33,33,1527217200.0,1527332429.0,2,3,2,2,3,2,3,2018-05-26T13:15:29Z,115229.0,32.00805555555556,0
35,35,35,1527312600.0,1527433223.0,2,3,3,3,3,3,0,2018-05-28T00:33:23Z,120623.0,33.50638888888889,0
36,36,36,1527490826.0,1527505226.0,3,3,3,3,3,2,3,2018-05-28T17:14:26Z,14400.0,4.0,0
39,39,39,1527575432.0,1527588032.0,2,2,2,3,3,2,4,2018-05-29T23:38:32Z,12600.0,3.5,0
41,41,41,1527660019.0,1527674419.0,2,3,3,4,3,4,4,2018-05-30T21:52:19Z,14400.0,4.0,0
42,42,42,1527834633.0,1527846333.0,2,2,2,2,2,3,3,2018-06-01T23:33:33Z,11700.0,3.25,0
43,43,43,1528082100.0,1528110900.0,2,2,2,3,3,2,4,2018-06-05T03:28:00Z,28800.0,8.0,0
44,44,44,1528426800.0,1528441245.0,3,4,2,4,3,4,4,2018-06-08T15:02:45Z,14445.0,4.0125,0
46,46,46,1528513200.0,1528545624.0,3,3,3,3,3,3,4,2018-06-09T23:51:24Z,32424.0,9.006666666666666,0
48,48,48,1528596000.0,1528632042.0,3,3,3,3,4,4,4,2018-06-11T04:52:42Z,36042.0,10.011666666666667,0
49,49,49,1528701305.0,1528716605.0,2,3,2,3,3,3,3,2018-06-11T14:33:05Z,15300.0,4.25,0
