,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526446804.0,1526466604.0,2,2,2,2,3,3,2,2018-05-17T01:57:04Z,19800.0,5.5,0
1,1,1,1526529624.0,1526554824.0,1,2,2,2,2,2,2,2018-05-18T01:56:24Z,25200.0,7.0,0
2,2,2,1526617847.0,1526643047.0,2,2,3,3,3,2,2,2018-05-19T01:30:47Z,25200.0,7.0,0
3,3,3,1526796051.0,1526806851.0,1,1,2,2,1,2,3,2018-05-20T18:14:51Z,10800.0,3.0,0
4,4,4,1526785200.0,1526821200.0,3,2,2,2,2,2,2,2018-05-21T21:11:34Z,36000.0,10.0,0
5,5,5,1526875235.0,1526898635.0,2,2,2,2,2,1,3,2018-05-22T04:56:35Z,23400.0,6.5,0
6,6,6,1526972451.0,1526986851.0,2,2,2,3,3,3,3,2018-05-22T17:13:51Z,14400.0,4.0,0
7,7,7,1527048013.0,1527062413.0,1,1,1,1,1,1,3,2018-05-24T02:48:13Z,14400.0,4.0,0
9,9,9,1527134414.0,1527156014.0,1,1,2,1,1,2,2,2018-05-24T15:58:14Z,21600.0,6.0,0
10,10,10,1527219000.0,1527249624.0,3,2,3,2,1,2,1,2018-05-25T15:55:24Z,30624.0,8.506666666666666,0
11,11,11,1527307233.0,1527343233.0,3,2,2,2,2,2,1,2018-05-26T15:11:33Z,36000.0,10.0,0
12,12,12,1527404403.0,1527429603.0,3,2,3,3,3,2,3,2018-05-27T17:12:03Z,25200.0,7.0,0
13,13,13,1527487234.0,1527503434.0,3,2,3,2,3,2,2,2018-05-28T15:08:34Z,16200.0,4.5,0
14,14,14,1527570055.0,1527595255.0,2,2,2,2,1,1,2,2018-05-29T23:38:55Z,25200.0,7.0,0
15,15,15,1527658218.0,1527678918.0,2,2,2,2,2,2,2,2018-05-30T17:35:18Z,20700.0,5.75,0
17,17,17,1527750015.0,1527764415.0,2,2,3,3,3,3,2,2018-05-31T16:50:15Z,14400.0,4.0,0
18,18,18,1527833747.0,1527855347.0,2,2,2,2,1,2,3,2018-06-01T15:20:47Z,21600.0,6.0,0
19,19,19,1527913806.0,1527935406.0,3,2,3,2,2,3,1,2018-06-02T19:55:06Z,21600.0,6.0,0
21,21,21,1527991200.0,1528027202.0,3,2,3,2,3,2,2,2018-06-03T15:08:02Z,36002.0,10.000555555555556,0
22,22,22,1528084839.0,1528095639.0,1,2,1,1,1,2,3,2018-06-04T19:05:39Z,10800.0,3.0,0
23,23,23,1528084800.0,1528190101.0,3,2,2,3,3,2,3,2018-06-05T17:30:01Z,105301.0,29.25027777777778,0
24,24,24,1528257645.0,1528275645.0,1,2,2,1,1,1,3,2018-06-06T19:22:45Z,18000.0,5.0,0
25,25,25,1528257611.0,1528275611.0,1,1,2,2,1,1,3,2018-06-07T01:13:11Z,18000.0,5.0,0
26,26,26,1528608623.0,1528633823.0,3,2,3,2,2,2,2,2018-06-10T15:35:23Z,25200.0,7.0,0
27,27,27,1528711200.0,1528774200.0,3,2,3,3,2,2,2,2018-06-12T11:41:26Z,63000.0,17.5,0
