,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526292916.0,1526350516.0,0,1,1,2,1,1,1,2018-05-15T03:17:16Z,57600.0,16.0,0
1,1,1,1526356826.0,1526378426.0,2,1,1,1,2,3,2,2018-05-15T13:49:26Z,21600.0,6.0,0
3,3,3,1526461255.0,1526522455.0,1,1,1,1,2,1,1,2018-05-16T15:10:55Z,61200.0,17.0,0
5,5,5,1526572812.0,1526583612.0,1,2,2,2,2,2,1,2018-05-17T20:57:12Z,10800.0,3.0,0
6,6,6,1526267700.0,1526637627.0,1,2,1,2,2,2,2,2018-05-18T14:22:27Z,369927.0,102.7575,0
7,7,7,1526634035.0,1526659235.0,1,2,2,2,2,2,1,2018-05-19T04:01:35Z,25200.0,7.0,0
9,9,9,1526740247.0,1526769047.0,2,2,2,2,2,2,2,2018-05-19T23:38:47Z,28800.0,8.0,0
10,10,10,1526810439.0,1526832039.0,3,2,2,3,2,2,2,2018-05-20T17:07:39Z,21600.0,6.0,0
11,11,11,1526832936.0,1526861736.0,1,2,2,2,1,2,1,2018-05-21T01:19:36Z,28800.0,8.0,0
13,13,13,1526900452.0,1526958052.0,2,2,1,2,2,2,2,2018-05-21T16:04:52Z,57600.0,16.0,0
14,14,14,1526907652.0,1526950852.0,2,2,1,2,2,1,1,2018-05-22T02:48:52Z,43200.0,12.0,0
15,15,15,1526985031.0,1527012031.0,2,2,2,2,2,2,2,2018-05-22T19:37:31Z,27000.0,7.5,0
16,16,16,1527069625.0,1527127225.0,2,2,2,2,2,2,2,2018-05-23T15:56:25Z,57600.0,16.0,0
17,17,17,1527091200.0,1527152454.0,1,1,1,1,1,1,1,2018-05-24T11:58:54Z,61254.0,17.015,0
18,18,18,1527156914.0,1527210914.0,0,2,1,2,2,2,2,2018-05-24T14:16:14Z,54000.0,15.0,0
19,19,19,1527242452.0,1527274852.0,2,2,2,2,2,2,2,2018-05-25T20:03:52Z,32400.0,9.0,0
20,20,20,1527331535.0,1527366635.0,3,2,2,2,2,2,2,2018-05-26T21:43:35Z,35100.0,9.75,0
21,21,21,1527422450.0,1527465650.0,2,2,1,1,1,1,1,2018-05-27T13:14:50Z,43200.0,12.0,0
22,22,22,1527503419.0,1527526819.0,1,2,2,2,2,2,2,2018-05-28T18:32:19Z,23400.0,6.5,0
23,23,23,1527548409.0,1527555609.0,1,1,1,2,2,2,2,2018-05-29T04:51:09Z,7200.0,2.0,0
24,24,24,1527591636.0,1527638436.0,2,2,2,2,2,1,1,2018-05-29T13:49:36Z,46800.0,13.0,0
25,25,25,1527602436.0,1527645636.0,2,2,2,2,1,2,2,2018-05-30T03:47:36Z,43200.0,12.0,0
26,26,26,1527688843.0,1527732043.0,1,2,2,2,2,2,1,2018-05-30T15:04:43Z,43200.0,12.0,0
27,27,27,1527766233.0,1527823833.0,2,2,2,2,2,1,2,2018-06-01T04:42:33Z,57600.0,16.0,0
30,30,30,1527874255.0,1527903055.0,2,2,2,2,2,2,2,2018-06-02T02:32:55Z,28800.0,8.0,0
31,31,31,1527942638.0,1527996638.0,2,2,1,2,2,2,2,2018-06-03T04:30:38Z,54000.0,15.0,0
35,35,35,1528105530.0,1528124430.0,1,2,2,2,2,2,2,2018-06-05T04:10:30Z,18900.0,5.25,0
36,36,36,1528196412.0,1528250412.0,2,2,2,2,2,2,2,2018-06-06T03:51:12Z,54000.0,15.0,0
38,38,38,1528294553.0,1528323353.0,1,1,1,2,1,1,2,2018-06-06T23:17:53Z,28800.0,8.0,0
39,39,39,1528355737.0,1528398937.0,1,2,2,2,1,2,1,2018-06-07T20:20:37Z,43200.0,12.0,0
40,40,40,1528369218.0,1528424118.0,2,2,2,2,2,2,3,2018-06-08T03:29:18Z,54900.0,15.25,0
42,42,42,1528441222.0,1528470022.0,2,2,2,2,2,1,2,2018-06-08T16:01:22Z,28800.0,8.0,0
44,44,44,1528448456.0,1528513256.0,1,2,2,2,2,2,2,2018-06-09T04:46:56Z,64800.0,18.0,0
45,45,45,1528629338.0,1528658138.0,2,2,2,2,2,2,2,2018-06-10T20:19:38Z,28800.0,8.0,0
47,47,47,1528707642.0,1528736442.0,1,2,2,1,2,2,1,2018-06-11T18:53:42Z,28800.0,8.0,0
48,48,48,1528714827.0,1528768827.0,1,2,2,2,2,2,2,2018-06-12T03:09:27Z,54000.0,15.0,0
49,49,49,1528794038.0,1528822838.0,1,2,2,2,2,1,2,2018-06-12T18:06:38Z,28800.0,8.0,0
