,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526227200.0,1526289357.0,3,2,3,3,3,4,0,2018-05-14T23:35:57Z,62157.0,17.265833333333333,0
1,1,1,1526347800.0,1526376633.0,3,2,3,2,2,4,2,2018-05-15T15:35:33Z,28833.0,8.009166666666667,0
2,2,2,1526366700.0,1526463055.0,1,2,2,2,1,2,3,2018-05-17T02:07:55Z,96355.0,26.76527777777778,0
3,3,3,1526454900.0,1526549400.0,2,1,1,2,2,3,3,2018-05-18T10:43:44Z,94500.0,26.25,0
4,4,4,1526625011.0,1526635811.0,2,1,1,2,2,3,3,2018-05-18T10:44:11Z,10800.0,3.0,0
6,6,6,1526706000.0,1526729400.0,3,3,3,3,3,3,4,2018-05-20T12:43:07Z,23400.0,6.5,0
7,7,7,1526877948.0,1526895048.0,2,1,2,2,2,1,3,2018-05-22T01:23:48Z,17100.0,4.75,0
8,8,8,1526957100.0,1526980507.0,4,4,4,4,4,4,2,2018-05-23T00:05:07Z,23407.0,6.501944444444445,0
9,9,9,1527044400.0,1527066000.0,3,3,3,3,4,4,4,2018-05-24T10:48:19Z,21600.0,6.0,0
10,10,10,1527130800.0,1527152404.0,3,4,4,4,4,4,4,2018-05-25T00:10:04Z,21604.0,6.001111111111111,0
11,11,11,1527217200.0,1527246000.0,3,4,3,3,4,4,1,2018-05-26T15:13:42Z,28800.0,8.0,0
12,12,12,1527304500.0,1527333300.0,3,4,3,4,4,4,2,2018-05-27T15:16:39Z,28800.0,8.0,0
13,13,13,1527564600.0,1527586251.0,4,4,4,4,4,4,3,2018-05-29T22:40:51Z,21651.0,6.014166666666667,0
14,14,14,1527649200.0,1527678000.0,3,3,3,3,3,3,4,2018-05-31T14:08:08Z,28800.0,8.0,0
15,15,15,1527822900.0,1527843652.0,3,3,3,3,3,3,4,2018-06-01T23:12:52Z,20752.0,5.764444444444445,0
16,16,16,1527908400.0,1527940800.0,3,2,2,3,4,3,4,2018-06-03T13:14:37Z,32400.0,9.0,0
17,17,17,1528092934.0,1528103734.0,2,2,2,2,2,2,4,2018-06-05T02:24:34Z,10800.0,3.0,0
18,18,18,1528167600.0,1528189200.0,3,4,3,3,3,3,4,2018-06-06T14:04:13Z,21600.0,6.0,0
19,19,19,1528256700.0,1528275654.0,4,4,3,3,3,3,4,2018-06-07T02:45:54Z,18954.0,5.265,0
21,21,21,1528600500.0,1528629300.0,3,4,3,3,3,3,2,2018-06-11T12:28:15Z,28800.0,8.0,0
