,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526358629.0,1526380229.0,3,3,3,4,3,4,3,2018-05-15T14:31:29Z,21600.0,6.0,0
2,2,2,1526400000.0,1526464808.0,3,4,3,4,3,4,2,2018-05-16T14:07:08Z,64808.0,18.002222222222223,0
3,3,3,1526528700.0,1526552119.0,3,0,4,3,1,2,1,2018-05-17T14:16:19Z,23419.0,6.505277777777778,0
4,4,4,1526608800.0,1526628649.0,1,0,1,1,0,0,1,2018-05-18T15:12:49Z,19849.0,5.5136111111111115,0
5,5,5,1526702453.0,1526721353.0,3,3,1,3,2,2,4,2018-05-19T15:51:53Z,18900.0,5.25,0
6,6,6,1526879752.0,1526895052.0,4,0,2,0,1,2,3,2018-05-21T15:33:52Z,15300.0,4.25,0
8,8,8,1526959800.0,1526985040.0,3,1,3,2,3,2,3,2018-05-22T15:59:40Z,25240.0,7.011111111111111,0
9,9,9,1527075009.0,1527084009.0,2,2,3,3,1,2,2,2018-05-23T15:44:09Z,9000.0,2.5,0
10,10,10,1527132600.0,1527154233.0,1,2,1,2,1,1,2,2018-05-24T14:15:33Z,21633.0,6.009166666666667,0
11,11,11,1527219000.0,1527247837.0,3,0,2,3,1,1,4,2018-05-25T15:56:37Z,28837.0,8.010277777777778,0
13,13,13,1527313529.0,1527334229.0,3,1,4,2,1,1,4,2018-05-26T15:48:29Z,20700.0,5.75,0
15,15,15,1527411616.0,1527440416.0,0,0,0,0,0,0,0,2018-05-27T18:56:16Z,28800.0,8.0,0
16,16,16,1527485408.0,1527499808.0,2,2,3,2,3,3,4,2018-05-28T17:34:08Z,14400.0,4.0,0
17,17,17,1527659135.0,1527678035.0,2,1,2,3,1,1,3,2018-05-30T15:56:35Z,18900.0,5.25,0
18,18,18,1527746427.0,1527759027.0,3,0,3,0,1,1,3,2018-05-31T13:08:27Z,12600.0,3.5,0
19,19,19,1527832856.0,1527845456.0,0,1,1,1,1,0,4,2018-06-01T16:40:56Z,12600.0,3.5,0
20,20,20,1527867900.0,1527942612.0,4,2,4,3,1,3,4,2018-06-03T03:45:12Z,74712.0,20.753333333333334,0
22,22,22,1527997500.0,1528029037.0,3,2,0,1,1,0,4,2018-06-03T16:37:37Z,31537.0,8.760277777777778,0
23,23,23,1528087542.0,1528106442.0,4,1,3,1,3,3,4,2018-06-04T15:44:42Z,18900.0,5.25,0
25,25,25,1528170300.0,1528194658.0,3,2,1,2,2,1,3,2018-06-05T16:02:58Z,24358.0,6.766111111111111,0
26,26,26,1528261216.0,1528282816.0,3,3,3,3,4,3,4,2018-06-06T15:46:16Z,21600.0,6.0,0
27,27,27,1528342200.0,1528363858.0,3,1,3,1,3,2,4,2018-06-07T16:21:58Z,21658.0,6.016111111111111,0
29,29,29,1528429500.0,1528448434.0,3,1,3,3,1,3,4,2018-06-08T15:52:34Z,18934.0,5.259444444444444,0
30,30,30,1528608611.0,1528630211.0,4,1,3,2,3,3,4,2018-06-10T15:37:11Z,21600.0,6.0,0
31,31,31,1528691445.0,1528709445.0,3,1,3,3,3,3,4,2018-06-11T13:54:45Z,18000.0,5.0,0
32,32,32,1528786834.0,1528815634.0,0,0,0,0,0,0,0,2018-06-12T16:14:34Z,28800.0,8.0,0
