,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
1,1,1,1526490914.0,1526519714.0,0,0,0,0,0,0,0,2018-05-17T02:16:14Z,28800.0,8.0,0
4,4,4,1526523300.0,1526548509.0,2,2,2,2,2,2,2,2018-05-17T15:29:09Z,25209.0,7.0024999999999995,0
5,5,5,1526612400.0,1526632203.0,2,2,2,2,2,2,2,2018-05-18T12:04:03Z,19803.0,5.5008333333333335,0
6,6,6,1526698800.0,1526716829.0,2,2,2,2,1,1,1,2018-05-20T02:10:29Z,18029.0,5.008055555555556,0
7,7,7,1526774400.0,1526796045.0,0,4,2,2,0,0,0,2018-05-20T22:53:45Z,21645.0,6.0125,0
8,8,8,1526864400.0,1526945410.0,4,2,2,2,2,2,2,2018-05-22T02:13:10Z,81010.0,22.50277777777778,0
9,9,9,1527037200.0,1527081300.0,3,4,0,3,0,2,0,2018-05-24T14:53:31Z,44100.0,12.25,0
10,10,10,1527130800.0,1527147039.0,0,4,2,1,3,2,2,2018-05-24T14:54:39Z,16239.0,4.510833333333333,0
11,11,11,1527217200.0,1527235220.0,0,4,2,1,0,1,2,2018-05-25T13:10:20Z,18020.0,5.0055555555555555,0
12,12,12,1527382800.0,1527408055.0,2,4,1,0,2,0,2,2018-05-27T21:06:55Z,25255.0,7.015277777777778,0
13,13,13,1527470100.0,1527501630.0,0,4,0,0,2,0,1,2018-05-28T15:21:30Z,31530.0,8.758333333333333,0
14,14,14,1527649200.0,1527663622.0,0,4,0,0,0,0,3,2018-05-31T01:01:22Z,14422.0,4.006111111111111,0
16,16,16,1527737400.0,1527746448.0,0,4,0,0,1,0,3,2018-05-31T15:42:48Z,9048.0,2.5133333333333336,0
17,17,17,1527822000.0,1527845407.0,1,2,0,1,0,0,2,2018-06-01T16:39:07Z,23407.0,6.501944444444445,0
18,18,18,1527868800.0,1527946201.0,4,3,1,0,1,1,0,2018-06-02T14:38:01Z,77401.0,21.50027777777778,0
19,19,19,1527991200.0,1528005630.0,1,2,2,1,2,0,0,2018-06-03T07:19:30Z,14430.0,4.008333333333334,0
21,21,21,1528074900.0,1528100150.0,2,2,1,0,2,1,2,2018-06-05T02:16:50Z,25250.0,7.013888888888888,0
22,22,22,1528342200.0,1528364700.0,0,4,0,1,1,1,1,2018-06-09T00:44:32Z,22500.0,6.25,0
23,23,23,1528382700.0,1528451132.0,1,2,1,1,2,2,3,2018-06-09T00:45:32Z,68432.0,19.008888888888887,0
26,26,26,1528532129.0,1528560929.0,1,2,2,1,1,3,2,2018-06-09T17:21:29Z,28800.0,8.0,0
27,27,27,1528687800.0,1528715736.0,1,2,1,1,2,1,2,2018-06-11T12:32:36Z,27936.0,7.760000000000001,0
30,30,30,1528677000.0,1528715725.0,0,2,0,0,2,1,2,2018-06-12T01:40:25Z,38725.0,10.756944444444445,0
