,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
2,2,2,1526263200.0,1526288405.0,3,3,2,2,2,1,0,2018-05-14T23:03:05Z,25205.0,7.001388888888888,0
4,4,4,1526349600.0,1526378405.0,3,3,3,3,3,3,2,2018-05-15T23:26:05Z,28805.0,8.001388888888888,0
5,5,5,1526407250.0,1526410850.0,1,3,3,3,3,1,2,2018-05-15T23:34:50Z,3600.0,1.0,0
6,6,6,1526437800.0,1526463050.0,4,2,3,1,3,2,3,2018-05-16T10:41:50Z,25250.0,7.013888888888888,0
8,8,8,1526524200.0,1526549455.0,2,2,2,2,2,2,2,2018-05-17T21:58:55Z,25255.0,7.015277777777778,0
9,11,11,1526704252.0,1526720452.0,0,0,1,1,3,2,4,2018-05-19T15:28:52Z,16200.0,4.5,0
11,14,14,1526806837.0,1526828437.0,4,4,0,3,1,3,0,2018-05-20T19:16:37Z,21600.0,6.0,0
12,15,15,1526869800.0,1526898623.0,3,3,3,3,4,3,0,2018-05-21T20:53:23Z,28823.0,8.006388888888889,0
14,17,17,1526869800.0,1526898623.0,3,3,3,2,4,3,0,2018-05-22T03:09:23Z,28823.0,8.006388888888889,0
16,20,20,1526963400.0,1526990400.0,1,1,1,2,2,2,2,2018-05-22T16:12:00Z,27000.0,7.5,0
17,21,21,1526958000.0,1526990437.0,1,1,1,2,2,2,2,2018-05-23T04:31:37Z,32437.0,9.010277777777778,0
20,25,25,1527134446.0,1527156046.0,1,2,2,2,2,1,2,2018-05-24T15:49:46Z,21600.0,6.0,0
22,27,27,1527217200.0,1527246048.0,4,3,3,3,4,2,3,2018-05-25T15:23:48Z,28848.0,8.013333333333334,0
23,30,30,1527416104.0,1527430504.0,3,1,0,2,1,2,4,2018-05-27T15:17:04Z,14400.0,4.0,0
25,32,32,1527651900.0,1527676210.0,3,1,0,2,2,1,4,2018-05-31T01:14:10Z,24310.0,6.752777777777778,0
26,33,33,1527738300.0,1527757257.0,1,1,1,1,0,2,4,2018-05-31T22:05:57Z,18957.0,5.265833333333333,0
29,36,36,1527824700.0,1527844517.0,2,1,2,3,1,2,4,2018-06-01T17:27:17Z,19817.0,5.504722222222223,0
31,38,38,1527909300.0,1527933623.0,3,3,3,3,3,4,3,2018-06-02T20:22:23Z,24323.0,6.756388888888889,0
33,40,40,1527997500.0,1528020001.0,3,1,1,2,2,2,4,2018-06-03T15:53:01Z,22501.0,6.250277777777778,0
35,42,42,1528164900.0,1528193725.0,4,2,2,3,4,3,4,2018-06-06T01:18:25Z,28825.0,8.006944444444445,0
37,44,44,1528261206.0,1528280106.0,1,2,1,2,1,2,4,2018-06-07T00:19:06Z,18900.0,5.25,0
39,46,46,1528344936.0,1528361136.0,0,0,0,0,0,2,4,2018-06-07T18:59:36Z,16200.0,4.5,0
40,47,47,1528394426.0,1528405226.0,3,2,2,2,3,2,3,2018-06-08T01:54:26Z,10800.0,3.0,0
41,48,48,1528434058.0,1528448458.0,2,1,1,1,2,3,3,2018-06-09T01:48:58Z,14400.0,4.0,0
42,49,49,1528610439.0,1528630239.0,1,2,1,2,1,2,3,2018-06-10T16:25:39Z,19800.0,5.5,0
44,52,52,1528693258.0,1528711258.0,2,2,2,2,2,3,3,2018-06-12T02:27:58Z,18000.0,5.0,0
