,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526271307.0,1526299207.0,3,3,3,2,3,3,1,2018-05-14T13:23:07Z,27900.0,7.75,0
1,1,1,1526355900.0,1526387454.0,4,1,3,2,3,2,2,2018-05-15T17:14:54Z,31554.0,8.764999999999999,0
2,2,2,1526442300.0,1526472016.0,4,1,4,1,0,4,0,2018-05-16T17:51:16Z,29716.0,8.254444444444443,0
3,3,3,1526526000.0,1526553036.0,4,1,3,2,2,1,1,2018-05-18T04:10:36Z,27036.0,7.510000000000001,0
4,4,4,1526612400.0,1526645750.0,4,3,1,3,4,1,1,2018-05-18T15:58:50Z,33350.0,9.26388888888889,0
5,5,5,1526716846.0,1526724046.0,1,1,1,1,1,1,4,2018-05-19T16:08:46Z,7200.0,2.0,0
6,6,6,1526796024.0,1526825724.0,4,2,4,3,4,4,1,2018-05-20T15:24:24Z,29700.0,8.25,0
7,7,7,1526873400.0,1526904928.0,4,3,4,4,4,4,1,2018-05-21T15:25:28Z,31528.0,8.757777777777779,0
8,8,8,1526968835.0,1526988635.0,1,1,2,1,2,2,1,2018-05-22T15:57:35Z,19800.0,5.5,0
9,9,9,1527048909.0,1527075909.0,1,1,1,1,1,1,2,2018-05-23T16:20:09Z,27000.0,7.5,0
10,10,10,1527140739.0,1527158739.0,2,3,2,2,1,3,4,2018-05-25T00:12:39Z,18000.0,5.0,0
11,11,11,1527401711.0,1527416111.0,1,1,1,1,1,2,1,2018-05-27T23:20:11Z,14400.0,4.0,0
12,12,12,1527479100.0,1527511520.0,4,2,4,2,2,4,1,2018-05-28T15:45:20Z,32420.0,9.005555555555556,0
13,13,13,1527565500.0,1527597007.0,1,2,4,1,1,2,1,2018-05-29T16:00:07Z,31507.0,8.751944444444444,0
14,14,14,1527651000.0,1527678018.0,4,3,3,3,3,3,1,2018-05-30T15:39:18Z,27018.0,7.505,0
15,15,15,1527824700.0,1527854409.0,4,4,4,4,4,4,2,2018-06-01T20:50:09Z,29709.0,8.2525,0
16,16,16,1528085728.0,1528111828.0,4,4,4,4,4,4,2,2018-06-04T15:29:28Z,26100.0,7.25,0
17,17,17,1528279216.0,1528329616.0,1,2,2,2,1,1,4,2018-06-07T04:05:16Z,50400.0,14.0,0
19,19,19,1528428600.0,1528452056.0,4,4,4,4,4,4,2,2018-06-08T16:31:56Z,23456.0,6.515555555555555,0
20,20,20,1528609556.0,1528631156.0,4,1,1,1,1,1,1,2018-06-10T15:47:56Z,21600.0,6.0,0
21,21,21,1528687800.0,1528713947.0,4,4,4,4,4,4,2,2018-06-11T14:08:47Z,26147.0,7.263055555555556,0
