,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
1,1,1,1526090400.0,1526122800.0,1,0,4,4,4,3,1,2018-05-14T20:49:39Z,32400.0,9.0,0
4,4,4,1525833900.0,1525903200.0,2,1,3,2,3,2,2,2018-05-14T23:06:52Z,69300.0,19.25,0
6,6,6,1526357735.0,1526398235.0,4,3,3,2,4,2,3,2018-05-15T17:21:35Z,40500.0,11.25,0
7,7,7,1526401821.0,1526405421.0,2,3,3,3,4,4,3,2018-05-15T22:17:21Z,3600.0,1.0,0
8,8,8,1526441400.0,1526464806.0,4,2,4,4,4,3,2,2018-05-16T11:54:06Z,23406.0,6.501666666666667,0
11,11,11,1526526900.0,1526551203.0,3,2,3,3,3,3,4,2018-05-17T23:50:03Z,24303.0,6.7508333333333335,0
12,13,13,1526656556.0,1526667356.0,3,4,3,2,2,4,4,2018-05-18T19:22:56Z,10800.0,3.0,0
15,16,16,1526701500.0,1526720445.0,3,2,3,3,0,2,4,2018-05-19T16:21:45Z,18945.0,5.2625,0
16,17,17,1526787000.0,1526819400.0,3,3,4,3,2,3,2,2018-05-21T13:38:58Z,32400.0,9.0,0
18,19,19,1526873400.0,1526896830.0,3,2,3,2,2,2,3,2018-05-21T16:15:30Z,23430.0,6.508333333333334,0
19,20,20,1526960700.0,1526965206.0,1,2,2,1,3,1,3,2018-05-22T18:05:06Z,4506.0,1.2516666666666665,0
23,24,24,1527044400.0,1527069611.0,2,3,2,2,3,3,2,2018-05-23T15:38:11Z,25211.0,7.003055555555556,0
26,27,27,1527130800.0,1527152439.0,2,1,2,2,2,2,1,2018-05-24T16:34:39Z,21639.0,6.010833333333333,0
27,30,30,1527303600.0,1527328817.0,1,1,2,2,2,2,1,2018-05-26T15:53:17Z,25217.0,7.004722222222223,0
29,32,32,1527476400.0,1527501649.0,2,1,2,2,2,2,1,2018-05-28T13:55:49Z,25249.0,7.0136111111111115,0
30,33,33,1527565500.0,1527591654.0,2,2,1,2,1,2,1,2018-05-29T16:05:54Z,26154.0,7.265,0
32,36,36,1527732900.0,1527758104.0,1,2,1,2,1,2,2,2018-06-01T00:33:04Z,25204.0,7.001111111111111,0
33,37,37,1527822900.0,1527847246.0,1,1,2,2,1,2,2,2018-06-01T15:48:46Z,24346.0,6.762777777777777,0
38,42,42,1527906600.0,1527933600.0,1,3,1,2,1,2,2,2018-06-03T01:09:00Z,27000.0,7.5,0
39,43,43,1528081200.0,1528104600.0,1,3,1,1,2,1,3,2018-06-05T14:11:40Z,23400.0,6.5,0
40,45,45,1528510500.0,1528542900.0,2,3,1,2,3,2,4,2018-06-11T11:27:12Z,32400.0,9.0,0
41,46,46,1528602300.0,1528624800.0,1,3,1,3,3,2,4,2018-06-11T11:27:41Z,22500.0,6.25,0
42,47,47,1528686000.0,1528709420.0,2,3,1,2,2,3,4,2018-06-11T11:28:20Z,23420.0,6.5055555555555555,0
43,48,48,1528772400.0,1528795837.0,1,2,1,2,1,2,4,2018-06-12T12:13:37Z,23437.0,6.510277777777778,0
