,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
3,3,3,1526030144.0,1526065244.0,3,2,2,3,2,1,1,2018-05-11T20:08:44Z,35100.0,9.75,0
4,4,4,1526095800.0,1526124647.0,3,2,2,3,2,0,1,2018-05-12T12:33:47Z,28847.0,8.013055555555557,0
8,10,10,1526180400.0,1526209213.0,2,2,2,3,2,0,2,2018-05-13T12:48:13Z,28813.0,8.00361111111111,0
13,15,15,1526275811.0,1526297411.0,2,2,2,3,2,0,0,2018-05-14T12:32:11Z,21600.0,6.0,0
17,19,19,1526351400.0,1526375732.0,3,2,2,3,2,0,1,2018-05-15T16:18:32Z,24332.0,6.758888888888889,0
21,23,23,1526441400.0,1526459440.0,3,2,2,3,2,0,2,2018-05-16T17:43:40Z,18040.0,5.011111111111111,0
22,24,24,1526523300.0,1526548531.0,3,2,2,3,2,0,1,2018-05-17T15:24:31Z,25231.0,7.008611111111111,0
23,25,25,1526622337.0,1526641237.0,2,2,2,3,1,0,3,2018-05-18T14:33:37Z,18900.0,5.25,0
24,26,26,1526781600.0,1526814057.0,3,2,2,3,2,0,2,2018-05-20T15:48:57Z,32457.0,9.015833333333335,0
25,27,27,1526884212.0,1526901312.0,2,2,2,3,2,0,2,2018-05-21T12:39:12Z,17100.0,4.75,0
27,29,29,1526956200.0,1526981453.0,2,2,2,3,2,0,0,2018-05-22T22:36:53Z,25253.0,7.014722222222222,0
28,30,30,1527044400.0,1527069638.0,3,2,2,3,2,0,1,2018-05-23T16:01:38Z,25238.0,7.010555555555555,0
29,31,31,1527129000.0,1527153328.0,3,2,2,3,2,0,2,2018-05-24T17:26:28Z,24328.0,6.757777777777777,0
30,32,32,1527232502.0,1527261302.0,3,2,2,3,2,0,1,2018-05-25T18:20:02Z,28800.0,8.0,0
31,33,33,1527327024.0,1527345024.0,2,2,2,3,2,0,2,2018-05-26T15:37:24Z,18000.0,5.0,0
32,34,34,1527400840.0,1527433240.0,3,2,2,3,2,0,3,2018-05-27T18:49:40Z,32400.0,9.0,0
33,35,35,1527830146.0,1527846346.0,2,2,2,3,2,0,2,2018-06-01T11:00:46Z,16200.0,4.5,0
34,36,36,1527908400.0,1527948013.0,3,2,2,3,2,0,2,2018-06-02T15:14:13Z,39613.0,11.00361111111111,0
35,37,37,1528085716.0,1528110916.0,3,2,2,3,2,0,3,2018-06-04T16:27:16Z,25200.0,7.0,0
36,38,38,1528180209.0,1528191009.0,1,2,2,2,0,0,2,2018-06-05T16:38:09Z,10800.0,3.0,0
37,39,39,1528340400.0,1528358424.0,3,2,2,3,2,0,3,2018-06-07T19:12:24Z,18024.0,5.006666666666666,0
38,40,40,1528603220.0,1528637420.0,3,2,2,3,2,0,2,2018-06-11T03:48:20Z,34200.0,9.5,0
39,41,41,1528686900.0,1528712113.0,3,2,2,3,2,0,2,2018-06-11T12:22:13Z,25213.0,7.003611111111111,0
