,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
1,1,1,1526293834.0,1526322634.0,2,2,0,0,0,0,2,2018-05-14T19:36:34Z,28800.0,8.0,0
3,3,3,1526369434.0,1526398234.0,2,0,3,0,2,1,1,2018-05-15T16:38:34Z,28800.0,8.0,0
5,5,5,1526397300.0,1526461237.0,1,1,2,1,2,2,2,2018-05-16T14:19:37Z,63937.0,17.760277777777777,0
7,7,7,1526616916.0,1526634916.0,1,2,2,2,2,2,2,2018-05-18T13:21:16Z,18000.0,5.0,0
9,9,9,1526897738.0,1526926538.0,2,2,2,2,2,2,2,2018-05-21T19:19:38Z,28800.0,8.0,0
10,10,10,1526966121.0,1526994921.0,2,3,2,3,2,2,3,2018-05-22T14:15:21Z,28800.0,8.0,0
11,11,11,1527069637.0,1527084037.0,2,2,2,2,2,2,2,2018-05-23T15:01:37Z,14400.0,4.0,0
12,12,12,1527099344.0,1527128144.0,0,1,1,0,0,0,1,2018-05-24T03:26:44Z,28800.0,8.0,0
14,14,14,1527159613.0,1527188413.0,2,2,2,2,1,1,1,2018-05-24T20:11:13Z,28800.0,8.0,0
15,15,15,1527328818.0,1527357618.0,2,1,2,0,3,1,1,2018-05-26T19:03:18Z,28800.0,8.0,0
16,16,16,1527478200.0,1527507050.0,2,2,2,1,2,1,1,2018-05-28T12:33:50Z,28850.0,8.01388888888889,0
18,18,18,1527844528.0,1527873328.0,2,2,2,0,3,1,3,2018-06-01T18:18:28Z,28800.0,8.0,0
20,20,20,1528100126.0,1528128926.0,0,2,1,1,2,2,1,2018-06-04T17:26:26Z,28800.0,8.0,0
21,21,21,1528189204.0,1528239604.0,3,3,2,0,3,2,2,2018-06-06T00:07:04Z,50400.0,14.0,0
22,22,22,1528262114.0,1528290914.0,2,2,2,1,2,2,1,2018-06-06T14:53:14Z,28800.0,8.0,0
23,23,23,1528396248.0,1528425048.0,2,1,1,1,3,2,2,2018-06-08T03:36:48Z,28800.0,8.0,0
