,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526591743.0,1526608843.0,1,2,4,1,1,4,2,2018-05-18T03:22:43Z,17100.0,4.75,0
1,1,1,1526613300.0,1526642112.0,2,0,1,3,0,0,0,2018-05-18T12:21:12Z,28812.0,8.003333333333334,0
2,2,2,1526623210.0,1526634010.0,2,2,3,3,0,4,3,2018-05-19T03:48:10Z,10800.0,3.0,0
3,3,3,1526794252.0,1526823052.0,0,0,0,0,0,1,2,2018-05-20T14:39:52Z,28800.0,8.0,0
4,4,4,1526796000.0,1526875236.0,2,4,4,1,1,2,1,2018-05-21T05:50:36Z,79236.0,22.009999999999998,0
5,5,5,1526884224.0,1526902224.0,4,1,4,2,2,3,3,2018-05-21T15:40:24Z,18000.0,5.0,0
6,6,6,1526962530.0,1527005730.0,4,4,2,2,3,4,4,2018-05-22T05:16:30Z,43200.0,12.0,0
8,9,9,1527314410.0,1527350410.0,1,1,4,3,3,4,1,2018-05-26T17:08:10Z,36000.0,10.0,0
9,10,10,1527400832.0,1527418832.0,4,4,1,2,3,4,0,2018-05-27T15:13:32Z,18000.0,5.0,0
10,11,11,1527487213.0,1527505213.0,4,4,4,4,3,4,2,2018-05-28T14:54:13Z,18000.0,5.0,0
11,12,12,1527564600.0,1527588024.0,4,1,3,3,2,3,3,2018-05-29T12:14:24Z,23424.0,6.506666666666666,0
12,13,13,1527609600.0,1527678036.0,4,3,1,1,2,4,3,2018-05-30T12:57:36Z,68436.0,19.009999999999998,0
13,14,14,1527746428.0,1527764428.0,3,4,3,3,3,2,4,2018-05-31T19:53:28Z,18000.0,5.0,0
14,15,15,1527951645.0,1527962445.0,4,4,4,4,2,4,2,2018-06-02T19:12:45Z,10800.0,3.0,0
15,16,16,1528002048.0,1528030848.0,3,1,4,4,3,4,0,2018-06-03T17:53:48Z,28800.0,8.0,0
16,17,17,1528078500.0,1528084830.0,4,3,3,2,2,4,4,2018-06-04T05:25:30Z,6330.0,1.7583333333333333,0
17,18,18,1528020000.0,1528092027.0,3,2,3,3,4,2,4,2018-06-05T03:54:27Z,72027.0,20.0075,0
18,19,19,1528342200.0,1528345845.0,2,4,4,2,2,3,4,2018-06-07T05:30:45Z,3645.0,1.0125,0
19,20,20,1528783258.0,1528812058.0,4,4,1,2,4,3,4,2018-06-12T15:45:58Z,28800.0,8.0,0
