,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,1,1,1526135400.0,1526209244.0,2,2,4,2,4,2,1,2018-05-14T00:27:44Z,73844.0,20.512222222222224,0
1,2,2,1526226300.0,1526287558.0,1,2,2,3,3,1,1,2018-05-14T18:57:58Z,61258.0,17.016111111111112,0
2,3,3,1526362204.0,1526378404.0,1,3,3,3,3,2,2,2018-05-15T16:12:04Z,16200.0,4.5,0
4,9,9,1526619633.0,1526637633.0,2,2,2,2,2,2,2,2018-05-18T20:56:33Z,18000.0,5.0,0
7,21,21,1526742000.0,1526821225.0,2,3,3,3,4,3,2,2018-05-20T16:46:25Z,79225.0,22.006944444444446,0
8,22,22,1526825709.0,1526854509.0,0,0,0,0,0,0,0,2018-05-20T23:29:09Z,28800.0,8.0,0
9,23,23,1526742000.0,1526823026.0,3,3,3,3,3,3,3,2018-05-21T00:44:26Z,81026.0,22.50722222222222,0
11,25,25,1526882409.0,1526900409.0,2,4,4,3,3,4,2,2018-05-21T15:38:09Z,18000.0,5.0,0
12,29,29,1527051600.0,1527076800.0,3,3,3,3,1,2,3,2018-05-24T05:13:58Z,25200.0,7.0,0
13,36,36,1527490826.0,1527505226.0,3,3,3,3,3,2,3,2018-05-28T17:14:26Z,14400.0,4.0,0
16,39,39,1527575432.0,1527588032.0,2,2,2,3,3,2,4,2018-05-29T23:38:32Z,12600.0,3.5,0
18,41,41,1527660019.0,1527674419.0,2,3,3,4,3,4,4,2018-05-30T21:52:19Z,14400.0,4.0,0
19,42,42,1527834633.0,1527846333.0,2,2,2,2,2,3,3,2018-06-01T23:33:33Z,11700.0,3.25,0
20,43,43,1528082100.0,1528110900.0,2,2,2,3,3,2,4,2018-06-05T03:28:00Z,28800.0,8.0,0
21,44,44,1528426800.0,1528441245.0,3,4,2,4,3,4,4,2018-06-08T15:02:45Z,14445.0,4.0125,0
23,46,46,1528513200.0,1528545624.0,3,3,3,3,3,3,4,2018-06-09T23:51:24Z,32424.0,9.006666666666666,0
25,48,48,1528596000.0,1528632042.0,3,3,3,3,4,4,4,2018-06-11T04:52:42Z,36042.0,10.011666666666667,0
26,49,49,1528701305.0,1528716605.0,2,3,2,3,3,3,3,2018-06-11T14:33:05Z,15300.0,4.25,0
