,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526351400.0,1526375747.0,3,1,2,2,1,2,2,2018-05-15T14:23:47Z,24347.0,6.763055555555556,0
1,1,1,1526437800.0,1526465753.0,2,1,2,1,2,2,2,2018-05-16T15:34:53Z,27953.0,7.764722222222222,0
3,3,3,1526525100.0,1526548520.0,1,2,3,2,1,3,2,2018-05-17T15:19:20Z,23420.0,6.5055555555555555,0
4,4,4,1526570100.0,1526634901.0,1,1,2,1,2,1,3,2018-05-19T01:46:01Z,64801.0,18.00027777777778,0
5,5,5,1526701500.0,1526721339.0,0,2,3,1,3,1,4,2018-05-19T17:28:39Z,19839.0,5.510833333333333,0
6,6,6,1526703300.0,1526739300.0,3,2,3,3,1,1,1,2018-05-20T15:23:58Z,36000.0,10.0,0
8,8,8,1526875236.0,1526893236.0,2,2,3,2,3,3,3,2018-05-21T16:09:36Z,18000.0,5.0,0
9,9,9,1526956200.0,1526981426.0,3,2,3,3,3,3,2,2018-05-22T22:42:26Z,25226.0,7.0072222222222225,0
10,10,10,1527130800.0,1527152453.0,3,3,2,1,2,2,1,2018-05-24T15:17:53Z,21653.0,6.014722222222222,0
11,11,11,1527228018.0,1527253218.0,1,0,1,3,1,1,2,2018-05-26T04:08:18Z,25200.0,7.0,0
12,12,12,1527400802.0,1527426002.0,1,2,3,3,2,2,3,2018-05-27T19:57:02Z,25200.0,7.0,0
13,13,13,1527654602.0,1527678002.0,2,1,1,2,2,2,4,2018-05-30T15:22:02Z,23400.0,6.5,0
14,14,14,1527747313.0,1527758113.0,1,1,3,2,2,3,4,2018-05-31T15:45:13Z,10800.0,3.0,0
16,16,16,1528038000.0,1528110015.0,3,3,2,3,2,2,4,2018-06-04T15:51:15Z,72015.0,20.004166666666666,0
17,17,17,1528254000.0,1528283704.0,3,2,3,3,3,2,4,2018-06-06T15:21:04Z,29704.0,8.251111111111111,0
18,18,18,1528430442.0,1528448442.0,3,2,3,3,2,2,3,2018-06-08T16:17:42Z,18000.0,5.0,0
20,20,20,1528515900.0,1528552801.0,4,3,3,2,3,4,3,2018-06-09T15:58:01Z,36901.0,10.250277777777777,0
21,21,21,1528599600.0,1528632027.0,3,2,2,3,2,2,3,2018-06-10T16:29:27Z,32427.0,9.0075,0
