,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,0,0,1526269500.0,1526328011.0,1,0,3,1,1,1,1,2018-05-14T21:43:11Z,58511.0,16.253055555555555,0
1,1,1,1526354100.0,1526380206.0,2,1,3,3,3,1,1,2018-05-16T03:11:06Z,26106.0,7.251666666666667,0
2,2,2,1526439600.0,1526468406.0,3,1,3,2,1,3,3,2018-05-16T12:08:06Z,28806.0,8.001666666666667,0
3,3,3,1526528700.0,1526549417.0,1,3,4,3,3,2,4,2018-05-18T03:02:17Z,20717.0,5.754722222222223,0
16,16,16,1526612400.0,1526680811.0,3,3,3,2,3,3,4,2018-05-18T23:52:11Z,68411.0,19.003055555555555,0
34,34,34,1526612400.0,1526637631.0,3,3,3,3,3,3,4,2018-05-19T00:51:31Z,25231.0,7.008611111111111,0
36,36,36,1526693400.0,1526722244.0,3,3,3,3,1,3,3,2018-05-19T10:42:44Z,28844.0,8.012222222222222,0
37,38,38,1526693400.0,1526718658.0,2,4,4,3,3,4,4,2018-05-20T02:34:58Z,25258.0,7.016111111111111,0
39,40,40,1526786100.0,1526815846.0,3,3,3,3,3,3,1,2018-05-20T16:24:46Z,29746.0,8.262777777777778,0
40,41,41,1526785200.0,1526815857.0,3,3,3,3,3,3,1,2018-05-21T01:26:57Z,30657.0,8.515833333333333,0
41,42,42,1526871600.0,1526899518.0,2,2,2,3,2,2,0,2018-05-22T02:25:18Z,27918.0,7.755,0
43,44,44,1526954400.0,1526979633.0,2,3,2,3,3,2,1,2018-05-22T22:19:33Z,25233.0,7.009166666666667,0
44,45,45,1527069616.0,1527101116.0,3,2,3,2,2,2,1,2018-05-23T19:46:16Z,31500.0,8.75,0
45,46,46,1527131700.0,1527155132.0,2,3,3,3,3,3,1,2018-05-24T15:22:32Z,23432.0,6.508888888888889,0
46,47,47,1527132600.0,1527154221.0,3,3,3,3,3,3,1,2018-05-25T03:34:21Z,21621.0,6.005833333333333,0
47,49,49,1527305400.0,1527332416.0,3,3,3,3,3,3,0,2018-05-26T16:29:16Z,27016.0,7.504444444444444,0
48,50,50,1527392700.0,1527408051.0,3,3,3,3,3,3,0,2018-05-27T21:54:51Z,15351.0,4.264166666666666,0
49,51,51,1527479100.0,1527505205.0,2,1,3,3,3,1,0,2018-05-28T15:45:05Z,26105.0,7.251388888888888,0
50,52,52,1527568216.0,1527591616.0,1,2,3,2,3,3,0,2018-05-30T00:15:16Z,23400.0,6.5,0
51,53,53,1527644700.0,1527668153.0,2,4,4,4,4,4,2,2018-05-30T21:20:53Z,23453.0,6.514722222222222,0
52,54,54,1527732000.0,1527757259.0,3,3,3,2,2,3,1,2018-05-31T18:01:59Z,25259.0,7.016388888888889,0
53,55,55,1527820200.0,1527850847.0,3,3,3,3,1,3,1,2018-06-02T02:44:47Z,30647.0,8.513055555555557,0
54,56,56,1527909300.0,1527941722.0,2,1,3,1,2,2,4,2018-06-03T03:21:22Z,32422.0,9.006111111111112,0
55,57,57,1527995700.0,1528028151.0,2,3,3,3,2,1,1,2018-06-03T22:27:51Z,32451.0,9.014166666666666,0
56,58,58,1528083900.0,1528106408.0,2,1,2,1,2,2,3,2018-06-05T00:53:08Z,22508.0,6.252222222222222,0
57,59,59,1528168500.0,1528197317.0,2,2,2,1,3,2,3,2018-06-06T02:23:17Z,28817.0,8.004722222222222,0
58,60,60,1528284628.0,1528332328.0,2,2,3,3,3,2,4,2018-06-07T01:46:28Z,47700.0,13.25,0
59,61,61,1528338600.0,1528361126.0,3,2,2,3,1,2,4,2018-06-07T21:54:26Z,22526.0,6.2572222222222225,0
60,62,62,1528423200.0,1528453810.0,2,3,3,3,3,3,4,2018-06-09T03:03:10Z,30610.0,8.502777777777778,0
61,63,63,1528506000.0,1528542047.0,3,2,2,3,3,3,2,2018-06-09T16:51:47Z,36047.0,10.013055555555555,0
62,64,64,1528602300.0,1528629309.0,3,2,2,2,2,2,1,2018-06-10T19:26:09Z,27009.0,7.5024999999999995,0
