,index,Unnamed: 0,sleep_time,wakeup_time,sleep,arousal,valence,dominance,physical_activity,sociability,study,timestamp,time_sleeping,time_sleeping_hs,duplicated
0,1,1,1526436000.0,1526461235.0,2,1,2,2,3,1,2,2018-05-16T10:54:35Z,25235.0,7.009722222222222,0
1,2,2,1526529635.0,1526549435.0,2,1,2,1,2,2,2,2018-05-17T11:09:35Z,19800.0,5.5,0
2,3,3,1526608800.0,1526624156.0,3,1,1,3,2,2,3,2018-05-18T07:32:56Z,15356.0,4.265555555555555,0
3,5,5,1526781600.0,1526821258.0,4,3,3,3,3,3,1,2018-05-20T15:06:58Z,39658.0,11.016111111111112,0
4,6,6,1526873400.0,1526902225.0,3,2,3,2,2,2,2,2018-05-21T12:42:25Z,28825.0,8.006944444444445,0
5,8,8,1527042600.0,1527076836.0,3,3,3,3,3,3,2,2018-05-23T15:42:36Z,34236.0,9.51,0
6,9,9,1527130800.0,1527159646.0,2,2,2,2,2,2,2,2018-05-24T12:04:46Z,28846.0,8.012777777777778,0
7,10,10,1527217200.0,1527253200.0,4,4,4,4,4,4,0,2018-05-26T06:08:08Z,36000.0,10.0,0
8,11,11,1527310806.0,1527339606.0,2,2,2,2,2,2,0,2018-05-26T22:53:06Z,28800.0,8.0,0
9,12,12,1527406219.0,1527427819.0,2,2,2,2,2,2,4,2018-05-27T22:43:19Z,21600.0,6.0,0
10,13,13,1527908400.0,1527937207.0,2,3,3,3,2,3,3,2018-06-02T12:56:07Z,28807.0,8.001944444444444,0
11,14,14,1528005607.0,1528034407.0,2,2,3,3,3,3,2,2018-06-03T15:47:07Z,28800.0,8.0,0
12,15,15,1528088418.0,1528106418.0,3,2,3,2,2,3,3,2018-06-05T01:51:18Z,18000.0,5.0,0
13,16,16,1528174800.0,1528191000.0,3,2,1,2,3,1,2,2018-06-06T06:09:57Z,16200.0,4.5,0
14,17,17,1528357540.0,1528363840.0,0,0,1,0,0,1,4,2018-06-08T03:11:40Z,6300.0,1.75,0
